station;year;month;frost;rain;sun;device
Armagh;2016;1;5;131,9;44,5;Campbell Stokes
Armagh;2016;2;10;62,6;71,3;Campbell Stokes
Armagh;2016;3;4;43,8;117,3;Campbell Stokes
Armagh;2016;4;5;54;139,7;Campbell Stokes
Armagh;2016;5;0;41,4;209,6;Campbell Stokes
Armagh;2016;6;0;75,1;113,6;Campbell Stokes
Armagh;2016;7;0;80,6;113,1;Campbell Stokes
Armagh;2016;8;0;52,5;134,6;Campbell Stokes
Armagh;2016;9;0;65,4;91,1;Campbell Stokes
Armagh;2016;10;0;37,1;89,8;Campbell Stokes
Armagh;2016;11;8;40,8;75,5;Campbell Stokes
Armagh;2016;12;1;51,4;50,5;Campbell Stokes
Camborne;2016;1;0;221,6;48;Kipp Zonen
Camborne;2016;2;0;161,6;64,1;Kipp Zonen
Camborne;2016;3;0;88,4;139,9;Kipp Zonen
Camborne;2016;4;0;81,4;183,8;Kipp Zonen
Camborne;2016;5;0;45,6;206,1;Kipp Zonen
Camborne;2016;6;0;65,8;131,8;Kipp Zonen
Camborne;2016;7;0;23,2;160,9;Kipp Zonen
Camborne;2016;8;0;57,4;171,1;Kipp Zonen
Camborne;2016;9;0;153,7;102,8;Kipp Zonen
Camborne;2016;10;0;53,2;124,9;Kipp Zonen
Camborne;2016;11;0;137;56,5;Kipp Zonen
Camborne;2016;12;0;58,4;47,3;Kipp Zonen
Lerwick;2016;1;7;187;34,6;Kipp Zonen
Lerwick;2016;2;10;119,6;86,5;Kipp Zonen
Lerwick;2016;3;2;79,2;84,2;Kipp Zonen
Lerwick;2016;4;3;55,1;156,6;Kipp Zonen
Lerwick;2016;5;0;46;183,2;Kipp Zonen
Lerwick;2016;6;0;48,4;199,3;Kipp Zonen
Lerwick;2016;7;0;115,2;80,5;Kipp Zonen
Lerwick;2016;8;0;108,4;92,2;Kipp Zonen
Lerwick;2016;9;0;110;106,6;Kipp Zonen
Lerwick;2016;10;0;56,2;126,5;Kipp Zonen
Lerwick;2016;11;1;133,4;48;Kipp Zonen
Lerwick;2016;12;0;159,4;11,5;Kipp Zonen
Oxford;2016;1;5;83,9;59,1;Campbell Stokes
Oxford;2016;2;6;47,6;112,9;Campbell Stokes
Oxford;2016;3;4;74,2;123,8;Campbell Stokes
Oxford;2016;4;1;53,1;163,7;Campbell Stokes
Oxford;2016;5;0;86,1;202,9;Campbell Stokes
Oxford;2016;6;0;95,7;100,4;Campbell Stokes
Oxford;2016;7;0;3,4;227,6;Campbell Stokes
Oxford;2016;8;0;41,2;204,5;Campbell Stokes
Oxford;2016;9;0;44,6;113,2;Campbell Stokes
Oxford;2016;10;0;26,5;112,2;Campbell Stokes
Oxford;2016;11;3;76,1;88,3;Campbell Stokes
Oxford;2016;12;10;25,8;62,3;Campbell Stokes
Sheffield;2016;1;3;84,8;40,3;Kipp Zonen
Sheffield;2016;2;5;68,6;96,1;Kipp Zonen
Sheffield;2016;3;2;87,2;98,6;Kipp Zonen
Sheffield;2016;4;1;65,8;154,9;Kipp Zonen
Sheffield;2016;5;0;58,2;164,5;Kipp Zonen
Sheffield;2016;6;0;130,4;106,5;Kipp Zonen
Sheffield;2016;7;0;30;178;Kipp Zonen
Sheffield;2016;8;0;62;194,5;Kipp Zonen
Sheffield;2016;9;0;44,2;113,5;Kipp Zonen
Sheffield;2016;10;0;29,2;84;Kipp Zonen
Sheffield;2016;11;2;95,6;71,9;Kipp Zonen
Sheffield;2016;12;3;31,8;57,9;Kipp Zonen
